ID	POEM_NUMBER	POEM_TITLE	STANZA	LINE_NUMBER	LINE_IN_SOURCE	LINE	RHYMEWORD	RHYME	RECONSTRUCTION	COMMENT	PROBLEMS
38	2	葛覃	2.3	2	歸寧父b[mə]母 。（之部）	歸寧父母	母	b	mə	之部	
39	3	卷耳	3.1	1	采采卷耳	采采卷耳					
40	3	卷耳	3.1	2	不盈頃a[khiuang]筐。	不盈頃筐	筐	a	khiuang		
41	3	卷耳	3.1	1	嗟我懷人	嗟我懷人					
42	3	卷耳	3.1	2	寘彼周a[heang]行。（阳部）	寘彼周行	行	a	heang	阳部	
43	3	卷耳	3.2	1	陟彼崔a[nguəi]嵬	陟彼崔嵬	嵬	a	nguəi		
44	3	卷耳	3.2	2	我馬虺a[duəi]隤。	我馬虺隤	隤	a	duəi		
45	3	卷耳	3.2	1	我姑酌彼金a[luəi]罍	我姑酌彼金罍	罍	a	luəi		
46	3	卷耳	3.2	2	維以不永a[hoəi]懷。（微部）	維以不永懷	懷	a	hoəi	微部	
47	3	卷耳	3.3	1	陟彼高a[kang]岡	陟彼高岡	岡	a	kang		
48	3	卷耳	3.3	2	我馬玄a[huang]黃。	我馬玄黃	黃	a	huang		
49	3	卷耳	3.3	1	我姑酌彼兕a[koang]觥	我姑酌彼兕觥	觥	a	koang		
50	3	卷耳	3.3	2	維以不永a[sjiang]傷。（阳部）	維以不永傷	傷	a	sjiang	阳部	
51	3	卷耳	3.4	1	陟彼a[tsia]砠矣	陟彼砠矣	砠	a	tsia		
52	3	卷耳	3.4	2	我馬a[da]瘏矣	我馬瘏矣	瘏	a	da		
53	3	卷耳	3.4	3							
54	3	卷耳	3.4	1	我僕a[phiua]痡矣	我僕痡矣	痡	a	phiua		
55	3	卷耳	3.4	2	云何a[xiua]吁矣。（鱼部）	云何吁矣	吁	a	xiua	鱼部	
56	4	樛木	4.1	1	南有樛木	南有樛木					
57	4	樛木	4.1	2	葛藟a[liuəi]纍之。	葛藟纍之	纍	a	liuəi		
58	4	樛木	4.1	1	樂只君子	樂只君子					
59	4	樛木	4.1	2	福履a[siuəi]綏之。（微部）	福履綏之	綏	a	siuəi	微部	
60	4	樛木	4.2	1	南有樛木	南有樛木					
61	4	樛木	4.2	2	葛藟a[xuang]荒之。	葛藟荒之	荒	a	xuang		
62	4	樛木	4.2	1	樂只君子	樂只君子					
63	4	樛木	4.2	2	福履a[tziang]將之。（阳部）	福履將之	將	a	tziang	阳部	
64	4	樛木	4.3	1	南有樛木	南有樛木					
65	4	樛木	4.3	2	葛藟a[lueng]<iueng?>縈之。	葛藟縈之	縈	a	lueng		iueng?,
66	4	樛木	4.3	1	樂只君子	樂只君子					
67	4	樛木	4.3	2	福履a[zjieng]成之。（耕部）	福履成之	成	a	zjieng	耕部	
68	5	螽斯	5.1	1	螽斯羽	螽斯羽					
69	5	螽斯	5.1	2	詵a[shən]詵兮。	詵詵兮	詵	a	shən		
70	5	螽斯	5.1	1	宜爾子孫	宜爾子孫					
71	5	螽斯	5.1	2	振a[tjiən]振兮。（文部）	振振兮	振	a	tjiən	文部	
72	5	螽斯	5.2	1	螽斯羽	螽斯羽					
73	5	螽斯	5.2	2	薨a[xuəng]薨兮。	薨薨兮	薨	a	xuəng		
74	5	螽斯	5.2	1	宜爾子孫	宜爾子孫					
75	5	螽斯	5.2	2	繩a[djiəng]繩兮。（蒸部）	繩繩兮	繩	a	djiəng	蒸部	
76	5	螽斯	5.3	1	螽斯羽	螽斯羽					
77	5	螽斯	5.3	2	揖a[tziəp]揖兮。	揖揖兮	揖	a	tziəp		
78	5	螽斯	5.3	1	宜爾子孫	宜爾子孫					
79	5	螽斯	5.3	2	蟄a[diəp]蟄兮。（缉部）	蟄蟄兮	蟄	a	diəp	缉部	
80	6	桃夭	6.1	1	桃之夭夭	桃之夭夭					
81	6	桃夭	6.1	2	灼灼其a[hoa]華。	灼灼其華	華	a	hoa		
82	6	桃夭	6.1	1	之子于歸	之子于歸					
83	6	桃夭	6.1	2	宜其室a[kea]家。 （鱼部）	宜其室家	家	a	kea	鱼部	
84	6	桃夭	6.2	1	桃之夭夭	桃之夭夭					
85	6	桃夭	6.2	2	有蕡其a[djiet]實。	有蕡其實	實	a	djiet		
86	6	桃夭	6.2	1	之子于歸	之子于歸					
87	6	桃夭	6.2	2	宜其家a[sjiet]室。（质部）	宜其家室	室	a	sjiet	质部	
88	6	桃夭	6.3	1	桃之夭夭	桃之夭夭					
89	6	桃夭	6.3	2	其葉蓁a[tzhen]蓁。	其葉蓁蓁	蓁	a	tzhen		
90	6	桃夭	6.3	1	之子于歸	之子于歸					
91	6	桃夭	6.3	2	宜其家a[njien]人。（真部）	宜其家人	人	a	njien	真部	
92	7	兔罝	7.1	1	肅肅兔a[tzia]罝	肅肅兔罝	罝	a	tzia		
93	7	兔罝	7.1	2	椓之丁b[teng]丁。（a= 鱼部）	椓之丁丁	丁	b	teng	a=鱼部	
94	7	兔罝	7.1	1	赳赳武a[piua]夫	赳赳武夫	夫	a	piua		
95	7	兔罝	7.1	2	公侯干b[zjieng]城。（b= 耕部）	公侯干城	城	b	zjieng	b=耕部	
96	7	兔罝	7.2	1	肅肅兔a[tzia]罝	肅肅兔罝	罝	a	tzia		
97	7	兔罝	7.2	2	施于中b[giu]逵。（a= 鱼部）	施于中逵	逵	b	giu	a=鱼部	
98	7	兔罝	7.2	1	赳赳武a[piua]夫	赳赳武夫	夫	a	piua		
99	7	兔罝	7.2	2	公侯好b[giu]仇。（b=幽部）	公侯好仇	仇	b	giu	b=幽部	
100	7	兔罝	7.3	1	肅肅兔a[tzia]罝	肅肅兔罝	罝	a	tzia		
101	7	兔罝	7.3	2	施于中b[liəm]林。（a= 鱼部）	施于中林	林	b	liəm	a=鱼部	
102	7	兔罝	7.3	1	赳赳武a[piua]夫	赳赳武夫	夫	a	piua		
103	7	兔罝	7.3	2	公侯腹b[siəm]心。（b= 侵部）	公侯腹心	心	b	siəm	b=侵部	
104	8	芣苡	8.1	1	采采芣a[jiə]苢	采采芣苢	苢	a	jiə		
105	8	芣苡	8.1	2	薄言b[tsə]采之。（a= 之部）	薄言采之	采	b	tsə	a=之部	
106	8	芣苡	8.1	1	采采芣a[jiə]苢	采采芣苢	苢	a	jiə		
107	8	芣苡	8.1	2	薄言b[hiuə]有之。（b= 之部）	薄言有之	有	b	hiuə	b=之部	
108	8	芣苡	8.2	1	采采芣a[jiə]苢	采采芣苢	苢	a	jiə		
109	8	芣苡	8.2	2	薄言b[tuat]掇之。（a= 之部）	薄言掇之	掇	b	tuat	a=之部	
110	8	芣苡	8.2	1	采采芣a[jiə]苢	采采芣苢	苢	a	jiə		
111	8	芣苡	8.2	2	薄言b[luat]捋之。（b= 月部）	薄言捋之	捋	b	luat	b=月部	
112	8	芣苡	8.3	1	采采芣a[jiə]苢	采采芣苢	苢	a	jiə		
113	8	芣苡	8.3	2	薄言b[kyet]袺之。（a= 之部）	薄言袺之	袺	b	kyet	a=之部	
114	8	芣苡	8.3	1	采采芣a[jiə]苢	采采芣苢	苢	a	jiə		
115	8	芣苡	8.3	2	薄言b[hyet]襭之。（b= 质部）	薄言襭之	襭	b	hyet	b=质部	
116	9	漢廣	9.1	1	南有喬木	南有喬木					
117	9	漢廣	9.1	2	不可a[xiu]休思。1	不可休思	休	a	xiu		
118	9	漢廣	9.1	1	漢有游女	漢有游女					
119	9	漢廣	9.1	2	不可a[giu]求思。（幽部）	不可求思	求	a	giu	幽部	
120	9	漢廣	9.1	1	漢之b[kuang]廣矣	漢之廣矣	廣	b	kuang		
121	9	漢廣	9.1	2	不可b[hyuang]泳思。	不可泳思	泳	b	hyuang		
122	9	漢廣	9.1	1	江之b[hyuang]永矣	江之永矣	永	b	hyuang		
123	9	漢廣	9.1	2	不可b[piuang]方思。（阳部）	不可方思	方	b	piuang	阳部	
124	9	漢廣	9.2	1	翹翹錯薪	翹翹錯薪					
125	9	漢廣	9.2	2	言刈其a[tshia]楚。	言刈其楚	楚	a	tshia		
126	9	漢廣	9.2	1	之子于歸	之子于歸					
127	9	漢廣	9.2	2	言秣其a[mea]馬。（鱼部）	言秣其馬	馬	a	mea	鱼部	
128	9	漢廣	9.2	1	漢之b[kuang]廣矣	漢之廣矣	廣	b	kuang		
129	9	漢廣	9.2	2	不可b[hyuang]泳思。	不可泳思	泳	b	hyuang		
130	9	漢廣	9.2	1	江之b[hyuang]永矣	江之永矣	永	b	hyuang		
131	9	漢廣	9.2	2	不可b[piuang]方思。（阳部）	不可方思	方	b	piuang	阳部	
132	9	漢廣	9.3	1	翹翹錯薪	翹翹錯薪					
133	9	漢廣	9.3	2	言刈其a[lio]蔞。	言刈其蔞	蔞	a	lio		
134	9	漢廣	9.3	1	之子于歸	之子于歸					
135	9	漢廣	9.3	2	言秣其a[kio]駒。（侯部）	言秣其駒	駒	a	kio	侯部	
136	9	漢廣	9.3	1	漢之b[kuang]廣矣	漢之廣矣	廣	b	kuang		
137	9	漢廣	9.3	2	不可b[hyuang]泳思。	不可泳思	泳	b	hyuang		
138	9	漢廣	9.3	1	江之b[hyuang]永矣	江之永矣	永	b	hyuang		
139	9	漢廣	9.3	2	不可b[piuang]方思。（阳部）	不可方思	方	b	piuang	阳部	
140	10	汝墳	10.1	1	遵彼汝墳	遵彼汝墳					
141	10	汝墳	10.1	2	伐其條a[muəi]枚。	伐其條枚	枚	a	muəi		
142	10	汝墳	10.1	1	未見君子	未見君子					
143	10	汝墳	10.1	2	惄如調a[kiei]飢。（微脂合韵）	惄如調飢	飢	a	kiei	微脂合韵	
144	10	汝墳	10.2	1	遵彼汝墳	遵彼汝墳					
145	10	汝墳	10.2	2	伐其條a[jiet]肄。	伐其條肄	肄	a	jiet		
146	10	汝墳	10.2	1	既見君子	既見君子					
147	10	汝墳	10.2	2	不我遐a[khiet]棄。（质部）	不我遐棄	棄	a	khiet	质部	
148	10	汝墳	10.3	1	魴魚赬a[miuəi]尾	魴魚赬尾	尾	a	miuəi		
149	10	汝墳	10.3	2	王室如a[xiuəi]燬。	王室如燬	燬	a	xiuəi		
150	10	汝墳	10.3	1	雖則如a[xiuəi]燬	雖則如燬	燬	a	xiuəi		
151	10	汝墳	10.3	2	父母孔a[njiei]邇。（微脂合韵）	父母孔邇	邇	a	njiei	微脂合韵	
152	11	麟之趾	11.1	1	麟之a[tjiə]趾	麟之趾	趾	a	tjiə		
153	11	麟之趾	11.1	2	振振公a[tziə]子。（之部）	振振公子	子	a	tziə	之部	
154	11	麟之趾	11.1	1	于嗟B[lien]麟兮。	于嗟麟兮	麟	B	lien		
155	11	麟之趾	11.2	1	麟之a[dyeng]定	麟之定	定	a	dyeng		
156	11	麟之趾	11.2	2	振振公a[sieng]姓。（耕部）	振振公姓	姓	a	sieng	耕部	
157	11	麟之趾	11.2	1	于嗟B[lien]麟兮。	于嗟麟兮	麟	B	lien		
158	11	麟之趾	11.3	1	麟之a[keok]角	麟之角	角	a	keok		
159	11	麟之趾	11.3	2	振振公a[dzok]族。（屋部）	振振公族	族	a	dzok	屋部	
160	11	麟之趾	11.3	1	于嗟B[lien]麟兮。（真部）	于嗟麟兮	麟	B	lien	真部	
161	11	麟之趾	11.8	1	召南	召南					
162	12	鵲巢	12.1	1	維鵲有巢	維鵲有巢					
163	12	鵲巢	12.1	2	維鳩a[kia]居之。	維鳩居之	居	a	kia		
164	12	鵲巢	12.1	1	之子于歸	之子于歸					
165	12	鵲巢	12.1	2	百兩a[ngiak]御之。（鱼铎通韵）	百兩御之	御	a	ngiak	鱼铎通韵	
166	12	鵲巢	12.2	1	維鵲有巢	維鵲有巢					
167	12	鵲巢	12.2	2	維鳩a[piuang]方之。	維鳩方之	方	a	piuang		
168	12	鵲巢	12.2	1	之子于歸	之子于歸					
169	12	鵲巢	12.2	2	百兩a[tziang]將之。（阳部）	百兩將之	將	a	tziang	阳部	
170	12	鵲巢	12.3	1	維鵲有巢	維鵲有巢					
171	12	鵲巢	12.3	2	維鳩a[jieng]盈之。	維鳩盈之	盈	a	jieng		
172	12	鵲巢	12.3	1	之子于歸	之子于歸					
173	12	鵲巢	12.3	2	百兩a[zjieng]成之。（耕部）	百兩成之	成	a	zjieng	耕部	
174	13	采蘩	13.1	1	于以采蘩	于以采蘩					
175	13	采蘩	13.1	2	于沼于a[tjiə]沚。	于沼于沚	沚	a	tjiə		
176	13	采蘩	13.1	1	于以用之	于以用之					
177	13	采蘩	13.1	2	公侯之a[dzhiə]事。（之部）	公侯之事	事	a	dzhiə	之部	
178	13	采蘩	13.2	1	于以采蘩	于以采蘩					
179	13	采蘩	13.2	2	于澗之a[tiuəm]中。	于澗之中	中	a	tiuəm		
180	13	采蘩	13.2	1	于以用之	于以用之					
181	13	采蘩	13.2	2	公侯之a[kiuəm]宮。（侵部）	公侯之宮	宮	a	kiuəm	侵部	
182	13	采蘩	13.3	1	被之僮a[dong]僮	被之僮僮	僮	a	dong		
183	13	采蘩	13.3	2	夙夜在a[kong]公。（东部）	夙夜在公	公	a	kong	东部	
184	13	采蘩	13.3	1	被之祁b[giei]祁	被之祁祁	祁	b	giei		
185	13	采蘩	13.3	2	薄言還b[kiuəi]歸。（脂微合韵）	薄言還歸	歸	b	kiuəi	脂微合韵	
186	14	草蟲	14.1	1	喓喓草a[diuəm]蟲	喓喓草蟲	蟲	a	diuəm		
187	14	草蟲	14.1	2	趯趯阜a[tjiuəm]螽	趯趯阜螽	螽	a	tjiuəm		
188	14	草蟲	14.1	3							
189	14	草蟲	14.1	1	未見君b[tziə]子	未見君子	子	b	tziə		
190	14	草蟲	14.1	2	憂心忡a[thiuəm]忡。（a= 侵部）	憂心忡忡	忡	a	thiuəm	a=侵部	
191	14	草蟲	14.1	1	亦既見b[tjiə]止	亦既見止	止	b	tjiə		
192	14	草蟲	14.1	2	亦既覯b[tjiə]止	亦既覯止	止	b	tjiə		
193	14	草蟲	14.1	3	我心則a[hoəm]降。（b= 之部）	我心則降	降	a	hoəm	b=之部	
194	14	草蟲	14.2	1	陟彼南山	陟彼南山					
195	14	草蟲	14.2	2	言采其a[kiuat]蕨。	言采其蕨	蕨	a	kiuat		
196	14	草蟲	14.2	1	未見君b[tziə]子	未見君子	子	b	tziə		
197	14	草蟲	14.2	2	憂心惙a[tiuat]惙。（a= 月部）	憂心惙惙	惙	a	tiuat	a=月部	
198	14	草蟲	14.2	1	亦既見b[tjiə]止	亦既見止	止	b	tjiə		
199	14	草蟲	14.2	2	亦既覯b[tjiə]止	亦既覯止	止	b	tjiə		
200	14	草蟲	14.2	3	我心則a[jiuat]說。（b= 之部）	我心則說	說	a	jiuat	b=之部	
201	14	草蟲	14.3	1	陟彼南山	陟彼南山					
202	14	草蟲	14.3	2	言采其a[miuəi]薇。	言采其薇	薇	a	miuəi		
203	14	草蟲	14.3	1	未見君b[tziə]子	未見君子	子	b	tziə		
204	14	草蟲	14.3	2	我心傷a[pəi]悲。（a= 微脂合韵）	我心傷悲	悲	a	pəi	a=微脂合韵	
205	14	草蟲	14.3	1	亦既見b[tjiə]止	亦既見止	止	b	tjiə		
206	14	草蟲	14.3	2	亦既覯b[tjiə]止	亦既覯止	止	b	tjiə		
207	14	草蟲	14.3	3	我心則a[jiei]夷。（b= 之部）	我心則夷	夷	a	jiei	b=之部	
208	15	采蘋	15.1	1	于以采a[bien]蘋	于以采蘋	蘋	a	bien		
209	15	采蘋	15.1	2	南澗之a[pien]濱。（真部）	南澗之濱	濱	a	pien	真部	
210	15	采蘋	15.1	1	于以采b[tzô]藻	于以采藻	藻	b	tzô		
211	15	采蘋	15.1	2	于彼行b[lô]潦。（宵部）	于彼行潦	潦	b	lô	宵部	
212	15	采蘋	15.2	1	于以盛之	于以盛之					
213	15	采蘋	15.2	2	維筐及a[kia]筥。	維筐及筥	筥	a	kia		
214	15	采蘋	15.2	1	于以湘之	于以湘之					
215	15	采蘋	15.2	2	維錡及a[biua]釜。（鱼部）	維錡及釜	釜	a	biua	鱼部	
216	15	采蘋	15.3	1	于以奠之	于以奠之					
217	15	采蘋	15.3	2	宗室牖a[hea]下。	宗室牖下	下	a	hea		
218	15	采蘋	15.3	1	誰起尸之	誰起尸之					
219	15	采蘋	15.3	2	有齊季a[nia]女。（鱼部）	有齊季女	女	a	nia	鱼部	
220	16	甘棠	16.1	1	蔽芾甘棠	蔽芾甘棠					
221	16	甘棠	16.1	2	勿翦勿a[biuat]伐	勿翦勿伐	伐	a	biuat		
222	16	甘棠	16.1	3	召伯所a[buat]茇。（月部）	召伯所茇	茇	a	buat	月部	
223	16	甘棠	16.2	1	蔽芾甘棠	蔽芾甘棠					
224	16	甘棠	16.2	2	勿翦勿a[beat]敗	勿翦勿敗	敗	a	beat		
225	16	甘棠	16.2	3	召伯所a[khiat]憩。（月部）	召伯所憩	憩	a	khiat	月部	
226	16	甘棠	16.3	1	蔽芾甘棠	蔽芾甘棠					
227	16	甘棠	16.3	2	勿翦勿a[peat]拜	勿翦勿拜	拜	a	peat		
228	16	甘棠	16.3	3	召伯所a[sjiuat]說。（月部）	召伯所說	說	a	sjiuat	月部	
229	17	行露	17.1	1	厭浥行a[lak]露	厭浥行露	露	a	lak		
230	17	行露	17.1	2	豈不夙a[jyak]夜	豈不夙夜	夜	a	jyak		
231	17	行露	17.1	3	謂行多a[lak]露。（铎部）	謂行多露	露	a	lak	铎部	
232	17	行露	17.2	1	誰謂雀無a[keok]角	誰謂雀無角	角	a	keok		
233	17	行露	17.2	2	何以穿我a[ok]屋。	何以穿我屋	屋	a	ok		
234	17	行露	17.2	1	誰謂女無家	誰謂女無家					
235	17	行露	17.2	2	何以速我a[ngiok]獄。	何以速我獄	獄	a	ngiok		
236	17	行露	17.2	1	雖速我a[ngiok]獄	雖速我獄	獄	a	ngiok		
237	17	行露	17.2	2	室家不a[tziok]足。（屋部）	室家不足	足	a	tziok	屋部	
238	17	行露	17.3	1	誰謂鼠無a[ngea]牙	誰謂鼠無牙	牙	a	ngea		
239	17	行露	17.3	2	何以穿我b[jiong]墉。	何以穿我墉	墉	b	jiong		
240	17	行露	17.3	1	誰謂女無a[kea]家	誰謂女無家	家	a	kea		
241	17	行露	17.3	2	何以速我b[ziong]訟。（a= 鱼部）	何以速我訟	訟	b	ziong	a=鱼部	
242	17	行露	17.3	1	雖速我b[ziong]訟	雖速我訟	訟	b	ziong		
243	17	行露	17.3	2	亦不女b[dziong]從。（b= 东部）	亦不女從	從	b	dziong	b=东部	
244	18	羔羊	18.1	1	羔羊之a[biai]皮	羔羊之皮	皮	a	biai		
245	18	羔羊	18.1	2	素絲五a[dai]紽。	素絲五紽	紽	a	dai		
246	18	羔羊	18.1	1	退食自公	退食自公					
247	18	羔羊	18.1	2	委蛇委a[jiai]蛇。（歌部）	委蛇委蛇	蛇	a	jiai	歌部	
248	18	羔羊	18.2	1	羔羊之a[kək]革	羔羊之革	革	a	kək		
249	18	羔羊	18.2	2	素絲五a[hiuək]緎。	素絲五緎	緎	a	hiuək		
250	18	羔羊	18.2	1	委蛇委蛇	委蛇委蛇					
251	18	羔羊	18.2	2	自公退a[djiək]食。（职部）	自公退食	食	a	djiək	职部	
252	18	羔羊	18.3	1	羔羊之a[biong]縫	羔羊之縫	縫	a	biong		
253	18	羔羊	18.3	2	素絲五a[tzong]總。	素絲五總	總	a	tzong		
254	18	羔羊	18.3	1	委蛇委蛇	委蛇委蛇					
255	18	羔羊	18.3	2	退食自a[kong]公。（东部）	退食自公	公	a	kong	东部	
256	19	殷其雷	19.1	1	殷其靁	殷其靁					
257	19	殷其雷	19.1	2	在南山之a[jiang]陽。	在南山之陽	陽	a	jiang		
258	19	殷其雷	19.1	1	何斯違斯	何斯違斯					
259	19	殷其雷	19.1	2	莫敢或a[huang]遑。（阳部）	莫敢或遑	遑	a	huang	阳部	
260	19	殷其雷	19.1	1	振振君B[tziə]子	振振君子	子	B	tziə		
261	19	殷其雷	19.1	2	歸哉歸B[tzə]哉。（之部）（又与二	歸哉歸哉	哉	B	tzə	之部又与二	
262	19	殷其雷	19.1	3	三章协）	三章协					
263	19	殷其雷	19.2	1	殷其靁	殷其靁					
264	19	殷其雷	19.2	2	在南山之a[tzhiək]側。	在南山之側	側	a	tzhiək		
265	19	殷其雷	19.2	1	何斯違斯	何斯違斯					
266	19	殷其雷	19.2	2	莫敢遑a[siək]息。（职部）	莫敢遑息	息	a	siək	职部	
267	19	殷其雷	19.2	1	振振君B[tziə]子	振振君子	子	B	tziə		
268	19	殷其雷	19.2	2	歸哉歸B[tzə]哉。（之部）	歸哉歸哉	哉	B	tzə	之部	
269	19	殷其雷	19.3	1	殷其靁	殷其靁					
270	19	殷其雷	19.3	2	在南山之a[hea]下。	在南山之下	下	a	hea		
271	19	殷其雷	19.3	1	何斯違斯	何斯違斯					
272	19	殷其雷	19.3	2	莫敢遑a[thjia]處。（鱼部）	莫敢遑處	處	a	thjia	鱼部	
273	19	殷其雷	19.3	1	振振君B[tziə]子	振振君子	子	B	tziə		
274	19	殷其雷	19.3	2	歸哉歸B[tzə]哉。（之部）	歸哉歸哉	哉	B	tzə	之部	
275	20	摽有梅	20.1	1	摽有梅	摽有梅					
276	20	摽有梅	20.1	2	其實a[tsiet]七兮。	其實七兮	七	a	tsiet		
277	20	摽有梅	20.1	1	求我庶士	求我庶士					
278	20	摽有梅	20.1	2	迨其a[kiet]吉兮。（质部）	迨其吉兮	吉	a	kiet	质部	
279	20	摽有梅	20.2	1	摽有梅	摽有梅					
280	20	摽有梅	20.2	2	其實a[səm]三兮。	其實三兮	三	a	səm		
281	20	摽有梅	20.2	1	求我庶士	求我庶士					
282	20	摽有梅	20.2	2	迨其a[kiəm]今兮。（侵部）	迨其今兮	今	a	kiəm	侵部	
283	20	摽有梅	20.3	1	摽有梅	摽有梅					
284	20	摽有梅	20.3	2	頃筐a[xiət]塈之。	頃筐塈之	塈	a	xiət		
285	20	摽有梅	20.3	1	求我庶士	求我庶士					
286	20	摽有梅	20.3	2	迨其a[hiuət]謂之。（物部）	迨其謂之	謂	a	hiuət	物部	
287	21	小星	21.1	1	嘒彼小a[syeng]星	嘒彼小星	星	a	syeng		
288	21	小星	21.1	2	三五在b[tong]東。（a= 耕部）	三五在東	東	b	tong	a=耕部	
289	21	小星	21.1	1	肅肅宵a[tjieng]征	肅肅宵征	征	a	tjieng		
290	21	小星	21.1	2	夙夜在b[kong]公	夙夜在公	公	b	kong		
291	21	小星	21.1	3	寔命不b[dong]同。（b= 东部）	寔命不同	同	b	dong	b=东部	
292	21	小星	21.2	1	嘒彼小a[syeng]星	嘒彼小星	星	a	syeng		
293	21	小星	21.2	2	 維參與b[meu]昴。（a= 耕部）	維參與昴	昴	b	meu	a=耕部	
294	21	小星	21.2	1	肅肅宵a[tjieng]征	肅肅宵征	征	a	tjieng		
295	21	小星	21.2	2	抱衾與b[diu]裯	抱衾與裯	裯	b	diu		
296	21	小星	21.2	3	寔命不b[jiu]猶。（b= 幽部）	寔命不猶	猶	b	jiu	b=幽部	
297	22	江有汜	22.1	1	江有a[ziə]汜	江有汜	汜	a	ziə		
298	22	江有汜	22.1	2	之子歸	之子歸					
299	22	江有汜	22.1	3	不我a[jiə]以。	不我以	以	a	jiə		
300	22	江有汜	22.1	1	不我a[jiə]以	不我以	以	a	jiə		
301	22	江有汜	22.1	2	其後也a[xuə]悔。（之部）	其後也悔	悔	a	xuə	之部	
302	22	江有汜	22.2	1	江有a[tjia]渚	江有渚	渚	a	tjia		
303	22	江有汜	22.2	2	之子歸	之子歸					
304	22	江有汜	22.2	3	不我a[jia]與。	不我與	與	a	jia		
305	22	江有汜	22.2	1	不我a[jia]與	不我與	與	a	jia		
306	22	江有汜	22.2	2	其後也a[thjia]處。（鱼部）	其後也處	處	a	thjia	鱼部	
307	22	江有汜	22.3	1	江有a[dai]沱	江有沱	沱	a	dai		
308	22	江有汜	22.3	2	之子歸	之子歸					
309	22	江有汜	22.3	3	不我a[kuai]過。	不我過	過	a	kuai		
310	22	江有汜	22.3	1	不我a[kuai]過	不我過	過	a	kuai		
311	22	江有汜	22.3	2	其嘯也a[kai]歌。（歌部）	其嘯也歌	歌	a	kai	歌部	
312	23	野有死麇	23.1	1	野有死a[kyuən]麇	野有死麇	麇	a	kyuən		
313	23	野有死麇	23.1	2	白茅b[peu]包之。（a= 文部）	白茅包之	包	b	peu	a=文部	
314	23	野有死麇	23.1	1	有女懷a[thjiuən]春	有女懷春	春	a	thjiuən		
